id,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
28653,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Police,1,Ba‘qūbah town,,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,3,0,3,3,3
28655,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Tall ‘Afar town,,Nīnawá province,Qaḑā’ Tall ‘Afar,36.379134,42.448065,POINT (42.448065 36.379134),181885,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,6,0,6,6,6
28656,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Police and medic,1,Tall ‘Afar town,,Nīnawá province,Qaḑā’ Tall ‘Afar,36.379134,42.448065,POINT (42.448065 36.379134),181885,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,2,0,2,2,2
28695,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Police,1,Ba‘qūbah town,,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,3,0,3,3,3
28696,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Police,1,Dujail town,,Şalāḩ ad Dīn province,Qaḑā’ Balad,33.846667,44.23444,POINT (44.234440 33.846667),178289,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,1,0,1,1,1
28703,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Al Kūt town,,Wāsiţ province,Qaḑā’ al Kūt,32.512796,45.818171,POINT (45.818171 32.512796),176852,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,6,0,6,6,6
28704,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Al Karmah town,,Al Anbār province,Qaḑā’ al Fallūjah,33.404377,43.914369,POINT (43.914369 33.404377),177568,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1
28705,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Police,1,al Başrah town,,Al Başrah  province,Qaḑā’ al Başrah,30.533016,47.797466,POINT (47.797466 30.533016),173976,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,3,0,3,3,3
28707,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Police,1,Al Iskandarīyah town,,Bābil province,Qaḑā’ al Musayyib,32.887297,44.346193,POINT (44.346193 32.887297),176849,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,1,0,1,1,1
28708,2012,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Al Ba‘āj town,,Nīnawá province,Al Ba‘āj district,36.042597,41.716323,POINT (41.716323 36.042597),181884,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1
